   yaml	reactions	plugins/platforms/slack/adapter.py:9007
   yaml	require_mention	plugins/platforms/slack/adapter.py:8981
   yaml	require_mention_channels	plugins/platforms/slack/adapter.py:9002
   yaml	strict_mention	plugins/platforms/slack/adapter.py:8983
   yaml	thread_require_mention	plugins/platforms/slack/adapter.py:8989
   env 	SLACK_ALLOWED_CHANNELS	plugins/platforms/slack/adapter.py:9024
   env 	SLACK_ALLOW_BOTS	plugins/platforms/slack/adapter.py:8996
   env 	SLACK_DISABLE_DMS	plugins/platforms/slack/adapter.py:9019
   env 	SLACK_FREE_RESPONSE_CHANNELS	plugins/platforms/slack/adapter.py:9001
   env 	SLACK_IGNORED_CHANNELS	plugins/platforms/slack/adapter.py:9030
   env 	SLACK_IGNORE_OTHER_USER_MENTIONS	plugins/platforms/slack/adapter.py:8986
   env 	SLACK_REACTIONS	plugins/platforms/slack/adapter.py:9008
   env 	SLACK_REACTION_TRIGGERS	plugins/platforms/slack/adapter.py:9013
   env 	SLACK_REACTION_TRIGGER_TARGET	plugins/platforms/slack/adapter.py:9016
   env 	SLACK_REQUIRE_MENTION	plugins/platforms/slack/adapter.py:8982
   env 	SLACK_REQUIRE_MENTION_CHANNELS	plugins/platforms/slack/adapter.py:9006
   env 	SLACK_STRICT_MENTION	plugins/platforms/slack/adapter.py:8984
   env 	SLACK_THREAD_REQUIRE_MENTION	plugins/platforms/slack/adapter.py:8992
